#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-05-17 02:15:00,318.32714605422683,2012-05-17 04:35:00,2:20:00 ,2012-05-18 17:25:00,1 day  15:10:00 ,93655493.82995752,4676101.767616598
>100,1,2012-05-17 02:00:00,14.581412805746904,2012-05-17 02:40:00,0:40:00 ,2012-05-18 04:55:00,1 day  2:55:00 ,86505490.66183561,4273992.966508001
