#Event defined by >10, 10 pfu; start time 2017-09-10 16:35:00, end time 2017-09-14 17:35:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,233139031.8000003
10.0,139114800.78000015
30.0,39628303.050000004
50.0,15807417.330000019
60.0,10256839.875000022
100.0,3503757.5730000017
700.0,72.15855299999986
