#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux [pfu],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-05-17 02:15:00,311.43,2012-05-17 04:35:00,2:20:00 ,2012-05-18 14:25:00,1 day  12:10:00 ,86171671.16249241,3070516.850474654
>100,1,2012-05-17 02:05:00,12.819,2012-05-17 03:20:00,1:15:00 ,2012-05-17 15:45:00,13:40:00 ,69760563.1613297,2762402.5710979514
