#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux [pfu],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2017-09-10 16:45:00,1493.5,2017-09-11 11:45:00,19:00:00 ,2017-09-14 18:50:00,4 days  2:05:00 ,1885783245.6181107,49854513.21118306
>100,1,2017-09-10 16:25:00,68.128,2017-09-10 22:15:00,5:50:00 ,2017-09-12 22:40:00,2 days  6:15:00 ,1753350104.2369473,49128644.05025294
