#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2017-09-10 16:40:00,1520.9076523695157,2017-09-11 11:45:00,19:05:00 ,2017-09-14 19:35:00,4 days  2:55:00 ,1933065038.6636136,48763918.2235415
>100,1,2017-09-10 16:20:00,57.73465373155406,2017-09-10 22:15:00,5:55:00 ,2017-09-14 04:45:00,3 days  12:25:00 ,1907105241.1076045,48309413.135363564
