#Event defined by >10, 10 pfu; start time 2012-05-17 02:10:00, end time 2012-05-18 17:50:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,2619154.9189799973
8.7,11.231651704001509,14.5,537538.4679599999
15.0,24.49489742783178,40.0,202121.87700000007
38.0,55.82114294781145,82.0,30959.210099999993
84.0,129.6148139681572,200.0,3119.740686000002
110.0,314.6426544510455,900.0,905.0567043000003
330.0,372.2902093797257,420.0,354.9720179999997
420.0,462.81745861624535,510.0,196.70696399999989
510.0,597.4947698515863,700.0,82.26617999999986
700.0,700.0,-1,19.7245341
