#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux [pfu],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-03-07 05:00:00,6529.8,2012-03-08 11:15:00,1 day  6:15:00 ,2012-03-12 22:55:00,5 days  17:55:00 ,4083520581.9824505,68001887.40572722
>100,1,2012-03-07 04:05:00,69.272,2012-03-07 15:25:00,11:20:00 ,2012-03-10 14:30:00,3 days  10:25:00 ,3911469074.5140996,67662155.00942476
