#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2017-09-10 16:30:00,1374.8850703545395,2017-09-11 11:40:00,19:10:00 ,2017-09-14 19:20:00,4 days  2:50:00 ,1802600643.5013423,47133992.41631275
>100,1,2017-09-10 16:20:00,55.91599678608217,2017-09-10 22:20:00,6:00:00 ,2017-09-14 05:50:00,3 days  13:30:00 ,1781392771.4149983,46652008.855264746
