#Event defined by >10, 10 pfu; start time 2012-05-17 02:05:00, end time 2012-05-18 18:55:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
5.0,6.012487006222966,7.23,3536195.4
7.23,8.696309562107366,10.46,1472136.0
10.46,12.575977099215791,15.12,664142.7
15.12,18.184454899721356,21.87,275363.9999999999
21.87,26.29694659081164,31.62,119020.46999999991
31.62,38.0260778939927,45.73,54945.839999999975
45.73,54.99204397001442,66.13,23385.149999999994
66.13,79.52781400239792,95.64,8014.64099999999
95.64,115.00874749339722,138.3,2775.9120000000016
138.3,166.31295800387895,200.0,961.149
200.0,240.49948024891862,289.2,338.8767000000006
