#Event defined by >100, 1 pfu; start time 2012-05-17 02:00:00, end time 2012-05-17 14:00:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
5.0,6.012487006222966,7.23,1813563.42
7.23,8.696309562107366,10.46,866450.52
10.46,12.575977099215791,15.12,438080.04000000004
15.12,18.184454899721356,21.87,196587.84
21.87,26.29694659081164,31.62,89394.39000000001
31.62,38.0260778939927,45.73,43452.42000000002
45.73,54.99204397001442,66.13,18943.979999999978
66.13,79.52781400239792,95.64,6309.929999999996
95.64,115.00874749339722,138.3,2112.99
138.3,166.31295800387895,200.0,695.7600000000002
200.0,240.49948024891862,289.2,231.16799999999984
