#Event defined by >10, 10 pfu; start time 2012-03-07 04:30:00, end time 2012-03-12 21:05:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,627181049.9999993
10.0,321680880.5400004
30.0,72443669.11499992
50.0,25753476.14880005
60.0,15855565.700099993
100.0,4812775.903500004
700.0,68.88191159999974
