#Event defined by >100, 1 pfu; start time 2012-03-07 03:05:00, end time 2012-03-11 04:20:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,82641799.91999999
8.7,11.231651704001509,14.5,23003519.009999987
15.0,24.49489742783178,40.0,8740419.759000005
38.0,55.82114294781145,82.0,912124.7492850006
84.0,129.6148139681572,200.0,47980.46879999999
110.0,314.6426544510455,900.0,9652.206253799983
330.0,372.2902093797257,420.0,1598.0302079999944
420.0,462.81745861624535,510.0,595.9752270000008
510.0,597.4947698515863,700.0,223.46131500000055
700.0,700.0,-1,50.382388199999895
