#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux [pfu],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-05-17 03:45:00,1600.0,2012-05-17 06:15:00,2:30:00 ,2012-05-17 23:45:00,20:00:00 ,250940368.07226118,1923107.0933390702
>100,1,2012-05-17 03:45:00,10.0,2012-05-17 06:15:00,2:30:00 ,2012-05-17 13:45:00,10:00:00 ,244968828.7563177,1854796.302679414
