#Event defined by >10, 10 pfu; start time 2012-03-07 04:25:00, end time 2012-03-12 21:05:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,84784804.7100001
8.7,11.231651704001509,14.5,23637572.927999984
15.0,24.49489742783178,40.0,8961365.508000018
38.0,55.82114294781145,82.0,924418.2752400013
84.0,129.6148139681572,200.0,48036.004283999435
110.0,314.6426544510455,900.0,9651.306156300076
330.0,372.2902093797257,420.0,1860.6583079999903
420.0,462.81745861624535,510.0,726.395247000001
510.0,597.4947698515863,700.0,280.6596000000008
700.0,700.0,-1,68.93626259999975
