#Event defined by >10, 10 pfu; start time 2017-09-10 16:45:00, end time 2017-09-14 18:50:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,246972635.40000015
10.0,150065862.57000005
30.0,44042096.28000006
50.0,17463769.52100002
60.0,11478458.106000021
100.0,3967296.1064999923
700.0,58.332487499999836
