#Event defined by >100, 1 pfu; start time 2017-09-10 16:20:00, end time 2017-09-14 05:50:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,24812630.255999975
8.7,11.231651704001509,14.5,7936322.252220005
15.0,24.49489742783178,40.0,3943004.3786100023
38.0,55.82114294781145,82.0,517946.5841100005
84.0,129.6148139681572,200.0,33496.854684000056
110.0,314.6426544510455,900.0,8884.160748600041
330.0,372.2902093797257,420.0,1917.653760000003
420.0,462.81745861624535,510.0,730.568507999997
510.0,597.4947698515863,700.0,295.43192700000003
700.0,700.0,-1,64.62814499999992
