#Event defined by >100, 1 pfu; start time 2012-05-17 02:05:00, end time 2012-05-17 15:45:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,10901561.25
10.0,5551369.2299999995
30.0,1676700.84
50.0,773528.64
60.0,551604.2399999999
100.0,219825.0119999999
700.0,9.409350000000003
