#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-03-07 04:25:00,5907.087843795847,2012-03-08 11:20:00,1 day  6:55:00 ,2012-03-12 21:05:00,5 days  16:40:00 ,4207764929.645951,61903476.51971996
>100,1,2012-03-07 03:05:00,57.23781634702424,2012-03-07 15:25:00,12:20:00 ,2012-03-11 04:20:00,4 days  1:15:00 ,4109973584.536252,61037237.535118565
