#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-05-17 02:05:00,246.8012844666626,2012-05-17 04:30:00,2:25:00 ,2012-05-18 18:55:00,1 day  16:50:00 ,103294685.236189,2245623.0477122883
>100,1,2012-05-17 02:00:00,9.334168133160505,2012-05-17 02:30:00,0:30:00 ,2012-05-17 14:00:00,12:00:00 ,72864893.38000004,1665620.617326814
