#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-05-17 02:10:00,259.26171044403094,2012-05-17 04:30:00,2:20:00 ,2012-05-18 17:50:00,1 day  15:40:00 ,103964462.2804357,5129080.026497347
>100,1,2012-05-17 02:00:00,20.252226017111415,2012-05-17 03:05:00,1:05:00 ,2012-05-18 02:50:00,1 day  0:50:00 ,92893290.16825297,4707290.588660761
