#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-03-07 04:40:00,7069.893350417204,2012-03-08 11:15:00,1 day  6:35:00 ,2012-03-13 05:30:00,6 days  0:50:00 ,4247682957.095976,64912666.60568839
>100,1,2012-03-07 03:15:00,60.1701332059254,2012-03-07 15:25:00,12:10:00 ,2012-03-11 02:15:00,3 days  23:00:00 ,4135513249.6260967,63953137.49776309
