#Event defined by >100, 1 pfu; start time 2012-05-17 02:00:00, end time 2012-05-17 16:30:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,11202312.780000005
10.0,5910251.939999999
30.0,1981247.2499999998
50.0,1001164.38
60.0,734992.44
100.0,302194.00199999986
700.0,7.744299300000004
