#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux [pfu],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-05-17 02:10:00,255.44,2012-05-17 04:30:00,2:20:00 ,2012-05-18 17:45:00,1 day  15:35:00 ,96135488.74297668,4121203.24796497
>100,1,2012-05-17 02:00:00,20.445,2012-05-17 02:30:00,0:30:00 ,2012-05-17 16:30:00,14:30:00 ,74270416.30227527,3797481.8265683954
