#Event defined by >100, 1 pfu; start time 2017-09-10 16:25:00, end time 2017-09-12 21:25:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,214719424.92000002
10.0,129689207.37
30.0,37842213.45000001
50.0,15318133.889999995
60.0,10013921.760000007
100.0,3454644.357
700.0,42.556509
