#Event defined by >100, 1 pfu; start time 2017-09-10 16:20:00, end time 2017-09-14 04:45:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,26062742.711999986
8.7,11.231651704001509,14.5,7441613.17845
15.0,24.49489742783178,40.0,4616591.647140002
38.0,55.82114294781145,82.0,556247.1465689999
84.0,129.6148139681572,200.0,39027.424230000055
110.0,314.6426544510455,900.0,8884.18634429995
330.0,372.2902093797257,420.0,1308.9205499999944
420.0,462.81745861624535,510.0,642.2980139999967
510.0,597.4947698515863,700.0,242.8188749999999
700.0,700.0,-1,51.23341349999988
