#Event defined by >10, 10 pfu; start time 2017-09-10 16:40:00, end time 2017-09-14 19:35:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,26631661.76999998
8.7,11.231651704001509,14.5,7590856.95345
15.0,24.49489742783178,40.0,4676650.792200003
38.0,55.82114294781145,82.0,560225.3414999993
84.0,129.6148139681572,200.0,39076.5868260001
110.0,314.6426544510455,900.0,8875.351984799934
330.0,372.2902093797257,420.0,1410.8988599999927
420.0,462.81745861624535,510.0,700.8076679999959
510.0,597.4947698515863,700.0,266.6049629999999
700.0,700.0,-1,58.81814549999983
