#Event defined by >10, 10 pfu; start time 2012-03-07 05:00:00, end time 2012-03-12 22:55:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,643849978.7999998
10.0,324956242.92000014
30.0,78361625.80800007
50.0,28653854.30820002
60.0,17752236.92609998
100.0,5411418.260099995
700.0,56.381715149999984
