#Event defined by >10, 10 pfu; start time 2012-03-07 04:40:00, end time 2012-03-13 05:30:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,90674562.35999997
8.7,11.231651704001509,14.5,22758969.75779996
15.0,24.49489742783178,40.0,9098037.810000028
38.0,55.82114294781145,82.0,1019985.238758
84.0,129.6148139681572,200.0,54535.067489999856
110.0,314.6426544510455,900.0,10391.710742400252
330.0,372.2902093797257,420.0,1398.7008239999936
420.0,462.81745861624535,510.0,681.2811360000065
510.0,597.4947698515863,700.0,241.3677795000022
700.0,700.0,-1,58.94385674999997
