#Event defined by >10, 10 pfu; start time 2012-05-17 03:45:00, end time 2012-05-17 23:45:00
#>Elow,Fluence 1/[cm^2 sr]
300,4811.4
100,153036.0
60,308070.0
50,400050.0
30,1064250.0
10,19969200.0
