#Event defined by >10, 10 pfu; start time 2012-05-17 02:15:00, end time 2012-05-18 17:25:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,2330897.5407000007
8.7,11.231651704001509,14.5,472037.4637800002
15.0,24.49489742783178,40.0,186745.51649999988
38.0,55.82114294781145,82.0,25711.103669999964
84.0,129.6148139681572,200.0,2249.392014000001
110.0,314.6426544510455,900.0,782.1767346000003
330.0,372.2902093797257,420.0,485.94927299999944
420.0,462.81745861624535,510.0,213.72625649999995
510.0,597.4947698515863,700.0,96.92304449999999
700.0,700.0,-1,24.800917500000047
