#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux [pfu],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-03-07 04:30:00,5456.1,2012-03-08 11:20:00,1 day  6:50:00 ,2012-03-12 21:05:00,5 days  16:35:00 ,4042361164.419044,60479125.687238365
>100,1,2012-03-07 04:15:00,60.9,2012-03-07 15:25:00,11:10:00 ,2012-03-10 11:25:00,3 days  7:10:00 ,3853399452.669783,60031489.9203815
