#Event defined by >100, 1 pfu; start time 2017-09-10 16:25:00, end time 2017-09-12 22:40:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,227134068.72
10.0,139527168.03000006
30.0,42112564.830000035
50.0,16936673.94
60.0,11204993.250000011
100.0,3909533.2739999946
700.0,34.81051200000002
