#Event defined by >100, 1 pfu; start time 2012-05-17 02:00:00, end time 2012-05-18 02:50:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,1979205.9276599996
8.7,11.231651704001509,14.5,455680.13291999965
15.0,24.49489742783178,40.0,183680.1020400001
38.0,55.82114294781145,82.0,29309.997600000006
84.0,129.6148139681572,200.0,3059.958270000001
110.0,314.6426544510455,900.0,902.1871709999996
330.0,372.2902093797257,420.0,262.37081399999937
420.0,462.81745861624535,510.0,142.1948639999997
510.0,597.4947698515863,700.0,59.76737399999996
700.0,700.0,-1,12.617857799999996
