#Event defined by >100, 1 pfu; start time 2012-03-07 04:15:00, end time 2012-03-10 11:25:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,600499816.5
10.0,306643785.3
30.0,69916511.82000002
50.0,25167457.26
60.0,15615619.079999996
100.0,4777154.181000004
700.0,41.91163889999994
