#Event defined by >100, 1 pfu; start time 2012-05-17 03:45:00, end time 2012-05-17 13:45:00
#>Elow,Fluence 1/[cm^2 sr]
300,4644.0
100,147600.0
60,299700.0
50,380700.0
30,1030500.0
10,19494000.0
