#Event defined by >10, 10 pfu; start time 2017-09-10 16:30:00, end time 2017-09-14 19:20:00
#Elow,Emid,Ehigh,Fluence 1/[MeV cm^2 sr]
4.2,6.044832503882965,8.7,25351740.815999962
8.7,11.231651704001509,14.5,8065777.641555008
15.0,24.49489742783178,40.0,3989024.098710003
38.0,55.82114294781145,82.0,521193.91485000064
84.0,129.6148139681572,200.0,33545.477722500036
110.0,314.6426544510455,900.0,8886.409469400085
330.0,372.2902093797257,420.0,2049.632220000002
420.0,462.81745861624535,510.0,792.0047009999962
510.0,597.4947698515863,700.0,322.30074599999995
700.0,700.0,-1,73.35547049999984
