#Event defined by >10, 10 pfu; start time 2012-05-17 02:15:00, end time 2012-05-18 14:25:00
#>Elow,Fluence 1/[cm^2 sr]
5.0,14305456.20000001
10.0,6857323.709999999
30.0,1988559.3299999996
50.0,893161.8479999996
60.0,627547.6020000004
100.0,244343.96729999967
700.0,23.01898350000004
