#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux 1/[MeV cm^2 s sr],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2012-03-07 04:20:00,6787.521596710863,2012-03-08 11:15:00,1 day  6:55:00 ,2012-03-13 13:25:00,6 days  9:05:00 ,3907040421.36538,24974051.03820406
>100,1,2012-03-07 04:45:00,25.092298248989714,2012-03-07 15:25:00,10:40:00 ,2012-03-10 03:05:00,2 days  22:20:00 ,3670455395.827777,23677827.86160562
