#Energy Threshold [MeV],Flux Threshold [pfu],Start Time,Peak Flux [pfu],Peak Time,Rise Time,End Time,Duration,Fluence >10 MeV [cm^-2],Fluence >100 MeV [cm^-2]
>10,10,2017-09-10 16:35:00,1333.2,2017-09-11 11:40:00,19:05:00 ,2017-09-14 17:35:00,4 days  1:00:00 ,1748168144.5442243,44029516.20518564
>100,1,2017-09-10 16:25:00,61.478,2017-09-10 22:20:00,5:55:00 ,2017-09-12 21:25:00,2 days  5:00:00 ,1629722644.493901,43412341.33086654
