#Experiment,SEP Date,FirstStart,LastEnd,ShortEvent,LateHundred,Exception
GOES-13,2012-03-07 00:00:00,False,False,False,False, 
GOES-13,2012-05-17 00:00:00,False,False,False,False, 
GOES-13,2012-07-12 00:00:00,False,False,True,False, 
GOES-13,2013-04-11 00:00:00,False,False,True,False, 
GOES-13,2014-01-06 00:00:00,False,True,True,False, 
GOES-13,2014-01-07 00:00:00,True,False,False,False, 
GOES-13,2017-07-14 00:00:00,False,False,False,False, 
GOES-13,2017-09-05 00:00:00,False,False,True,False, 
GOES-13,2017-09-06 00:00:00,True,False,True,False, 
GOES-13,2017-09-10 00:00:00,False,False,False,False, 
GOES-13,2012-03-07 00:00:00,False,False,False,False, 
GOES-13,2012-05-17 00:00:00,False,False,True,False, 
GOES-13,2012-07-12 00:00:00,False,False,True,False, 
GOES-13,2013-04-11 00:00:00,False,False,False,False, 
GOES-13,2014-01-06 00:00:00,False,True,True,False, 
GOES-13,2014-01-07 00:00:00,True,False,True,False, 
GOES-13,2017-07-14 00:00:00,False,False,False,False, 
GOES-13,2017-09-05 00:00:00,False,False,True,False, 
GOES-13,2017-09-06 00:00:00,True,False,True,False, 
GOES-13,2017-09-10 00:00:00,False,False,False,False, 
SEPEM,2012-03-07 00:00:00,False,False,False,False, 
SEPEM,2012-05-17 00:00:00,False,False,True,False, 
SEPEM,2012-07-12 00:00:00,False,False,True,False, 
SEPEM,2013-04-11 00:00:00,False,False,False,False, 
SEPEM,2014-01-06 00:00:00,False,True,True,False, 
SEPEM,2014-01-07 00:00:00,True,False,True,False, 
2017-07-14 02:30:00, , , , ,"The SEPEM (RSDv2) data set only extends to 2015-12-31 23:55:00. Please change your requested dates. Exiting."
2017-09-04 00:00:00, , , , ,"The SEPEM (RSDv2) data set only extends to 2015-12-31 23:55:00. Please change your requested dates. Exiting."
2017-09-06 10:00:00, , , , ,"The SEPEM (RSDv2) data set only extends to 2015-12-31 23:55:00. Please change your requested dates. Exiting."
2017-09-10 10:00:00, , , , ,"The SEPEM (RSDv2) data set only extends to 2015-12-31 23:55:00. Please change your requested dates. Exiting."
SEPEMv3,2012-03-07 00:00:00,False,False,False,False, 
SEPEMv3,2012-05-17 00:00:00,False,False,True,False, 
SEPEMv3,2012-07-12 00:00:00,False,False,True,False, 
SEPEMv3,2013-04-11 00:00:00,False,False,False,False, 
SEPEMv3,2014-01-06 00:00:00,False,True,True,False, 
SEPEMv3,2014-01-07 00:00:00,True,False,False,False, 
SEPEMv3,2017-07-14 00:00:00,False,False,True,False, 
SEPEMv3,2017-09-05 00:00:00,False,False,True,False, 
SEPEMv3,2017-09-06 00:00:00,True,False,True,False, 
SEPEMv3,2017-09-10 00:00:00,False,False,False,False, 
